count,keyword
1.0,544
0.9954545454545455,648
0.818939393939394,204
0.7272727272727273,629
0.6848484848484848,112
0.4810606060606061,416
0.43863636363636366,2036
0.41515151515151516,185
0.4083333333333334,486
0.38333333333333336,583
0.2477272727272727,1900
0.2446969696969697,58
0.2265151515151515,499
0.22348484848484848,1962
0.22348484848484848,429
0.21212121212121213,477
0.19999999999999998,567
0.19166666666666665,376
0.18181818181818182,610
0.17727272727272728,1783
0.17727272727272728,564
0.16515151515151516,2300
0.16287878787878787,151
0.15984848484848485,2185
0.15984848484848485,310
0.15378787878787878,333
0.15151515151515152,818
0.14848484848484847,1690
0.14242424242424243,613
0.13939393939393938,751
0.13106060606060604,2494
0.13106060606060604,219
0.1303030303030303,306
0.12803030303030302,361
0.12348484848484848,360
0.12196969696969696,2053
0.11363636363636363,501
0.10681818181818181,633
0.10454545454545454,455
0.10227272727272727,939
0.09772727272727272,619
0.09696969696969697,1697
0.09242424242424242,1485
0.09015151515151515,399
0.08181818181818182,519
0.08106060606060606,221
0.08030303030303029,503
0.07954545454545454,515
0.07803030303030302,697
0.07424242424242423,1389
0.07121212121212121,484
0.06818181818181818,70
0.0659090909090909,557
0.06439393939393939,1504
0.06439393939393939,1321
0.06439393939393939,855
0.06363636363636363,560
0.06287878787878787,554
0.05909090909090909,187
0.05757575757575758,255
0.055303030303030305,496
0.05454545454545455,516
0.052272727272727276,2186
0.052272727272727276,2038
0.05075757575757576,2371
0.04924242424242425,2090
0.045454545454545456,2191
0.045454545454545456,543
0.0446969696969697,190
0.0446969696969697,172
0.04318181818181818,2193
0.04166666666666667,2516
0.04015151515151515,467
0.04015151515151515,311
0.04015151515151515,115
0.0393939393939394,2486
0.0393939393939394,1471
0.03787878787878788,1544
0.03787878787878788,1043
0.03787878787878788,614
0.037121212121212124,351
0.03636363636363637,662
0.03636363636363637,545
0.03636363636363637,414
0.03636363636363637,309
0.03484848484848485,214
0.03333333333333333,2351
0.03333333333333333,643
0.03333333333333333,529
0.03257575757575758,2189
0.03257575757575758,347
0.03181818181818182,2387
0.03181818181818182,585
0.0303030303030303,1644
0.0303030303030303,439
0.0303030303030303,113
0.029545454545454545,584
0.028787878787878786,856
0.028787878787878786,220
0.02803030303030303,1738
0.02803030303030303,1061
0.02803030303030303,983
0.02803030303030303,229
0.026515151515151512,808
0.026515151515151512,156
0.025757575757575757,295
0.024999999999999998,1758
0.024999999999999998,391
0.024999999999999998,222
0.024999999999999998,152
0.024242424242424242,755
0.024242424242424242,421
0.024242424242424242,420
0.024242424242424242,308
0.024242424242424242,96
0.023484848484848483,2507
0.023484848484848483,1955
0.023484848484848483,904
0.023484848484848483,744
0.023484848484848483,318
0.022727272727272724,1118
0.02196969696969697,1959
0.02196969696969697,450
0.02121212121212121,1506
0.02121212121212121,1278
0.02121212121212121,940
0.02121212121212121,896
0.02121212121212121,798
0.02121212121212121,638
0.02121212121212121,400
0.02121212121212121,389
0.02121212121212121,192
0.020454545454545454,88
0.019696969696969695,2495
0.019696969696969695,2347
0.019696969696969695,457
0.019696969696969695,330
0.019696969696969695,300
0.019696969696969695,134
0.018939393939393936,2513
0.018939393939393936,2293
0.018939393939393936,1295
0.018939393939393936,911
0.018939393939393936,329
0.018939393939393936,175
0.018939393939393936,136
0.01818181818181818,541
0.01818181818181818,500
0.01818181818181818,387
0.01818181818181818,198
0.017424242424242422,2469
0.017424242424242422,2159
